genre;Author F L;Co-authors;Series;Series number;Title;Year
fiction_sf&fantasy;Ilona Andrews;;;;Burn for Me ;2014
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;1.0;Burn for Me ;2014
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;2.0;White Hot ;2017
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;3.0;Wildfire ;2017
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;3.5;Diamond Fire ;2018
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;4.1;A Misunderstanding ;2019
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;4.2;Pay Me ;2019
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;4.0;Sapphire Flames ;2019
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;5.0;Emerald Blaze ;2020
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;5.1;The Cool Aunt ;2020
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;6.0;Ruby Fever ;2022
fiction_sf&fantasy;Ilona Andrews;;Hidden Legacy;6.1;Regina;
fiction_sf&fantasy;Ilona Andrews;;Innkeeper Chronicles;1.0;Clean Sweep ;2012
fiction_sf&fantasy;Ilona Andrews;;Innkeeper Chronicles;2.0;Sweep in Peace ;2015
fiction_sf&fantasy;Ilona Andrews;;Innkeeper Chronicles;3.0;One Fell Sweep ;2016
fiction_sf&fantasy;Ilona Andrews;;Innkeeper Chronicles;4.0;Sweep of the Blade ;2019
fiction_sf&fantasy;Ilona Andrews;;Innkeeper Chronicles;4.5;Sweep with Me ;2020
fiction_sf&fantasy;Ilona Andrews;;Innkeeper Chronicles;5.0;Sweep of the Heart ;2022
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;0.5;A Questionable Client ;2015
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;1.0;Magic Bites ;2007
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;2.0;Magic Burns ;2008
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;3.0;Magic Strikes ;2009
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;3.5;Magic Mourns ;2009
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;4.0;Magic Bleeds ;2010
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;5.0;Magic Slays ;2011
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;6.0;Gunmetal Magic;
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;6.5;Magic Gifts ;2011
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;6.6;Magic Tests;
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;6.7;Retribution Clause ;2012
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;7.0;Magic Rises ;2013
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;7.5;Magic Steals;
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;8.0;Magic Breaks ;2014
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;9.0;Magic Shifts ;2015
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;9.5;Magic Stars;
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;10.0;Magic Binds ;2016
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;11.0;Iron and Magic;
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;12.0;Magic Triumphs ;2018
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;12.5;The King of Fire;
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;13.0;Magic Tides ;2023
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;14.0;Magic Claims;
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;14.5;Purpose;
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;14.6;No Heroes;
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;15.0;Blood Heir ;2021
fiction_sf&fantasy;Ilona Andrews;;Kate Daniels;15.5;Sanctuary;
fiction_sf&fantasy;Ilona Andrews;;Kinsmen;1.0;Silent Blade ;2009
fiction_sf&fantasy;Ilona Andrews;;Kinsmen;2.0;Silver Shark ;2011
fiction_sf&fantasy;Ilona Andrews;;Kinsmen;3.0;Fated Blades ;2021
fiction_sf&fantasy;Ilona Andrews;;The Edge;1.0;On the Edge ;2009
fiction_sf&fantasy;Ilona Andrews;;The Edge;2.0;Bayou Moon ;2010
fiction_sf&fantasy;Ilona Andrews;;The Edge;3.0;Fate's Edge ;2011
fiction_sf&fantasy;Ilona Andrews;;The Edge;4.0;Steel's Edge ;2012
fiction_sf&fantasy;Joe Abercrombie;;The First Law;01;The Blade Itself;
fiction_sf&fantasy;Joe Abercrombie;;The First Law;02;Before They Are Hanged;
fiction_sf&fantasy;Joe Abercrombie;;The First Law;03;Last Argument of Kings;
fiction_sf&fantasy;Joe Abercrombie;;The First Law;04;Best Served Cold;
fiction_sf&fantasy;Joe Abercrombie;;The First Law;05;The Heroes;
fiction_sf&fantasy;Joe Abercrombie;;The First Law;06;Red Country;
fiction_sf&fantasy;Joe Abercrombie;;The First Law;07;Sharp Ends;
fiction_sf&fantasy;Joe Abercrombie;;The First Law;08;A Little Hatred;
fiction_sf&fantasy;Joe Abercrombie;;The First Law;09;The Trouble with Peace;
fiction_sf&fantasy;Joe Abercrombie;;The First Law;10;The Wisdom of Crowds;
fiction_sf&fantasy;Joe Abercrombie;;The First Law;11;The Great Change;
